0 0 0
20000 11874.1 -4.24815e-09
40000 18616.3 -0.000243401
60000 25176.9 -0.00246679
80000 31724.2 -0.00418871
100000 38266.7 -0.00426286
120000 44806.1 0.00390997
140000 51346.3 0.0237718
160000 57886.9 0.04822
180000 64390.8 0.0716334
200000 70776.9 0.0917303
220000 76970 0.108338
240000 82935.9 0.124527
260000 88677.3 0.143442
280000 94218.8 0.162669
300000 99588.4 0.180531
320000 104807 0.196504
340000 109890 0.210486
360000 114845 0.223522
380000 119681 0.237825
400000 124405 0.253107
420000 129025 0.2681
440000 133549 0.282013
460000 137982 0.294519
480000 142328 0.305922
500000 146590 0.317481
520000 150776 0.329759
540000 154890 0.342287
560000 158937 0.354453
580000 162920 0.365841
600000 166841 0.376369
620000 170700 0.386563
640000 174500 0.396988
660000 178244 0.407659
680000 181933 0.418273
700000 185571 0.428503
720000 189158 0.438167
740000 192695 0.44741
760000 196183 0.456581
780000 199623 0.465854
800000 203016 0.475151
820000 206365 0.48428
840000 209670 0.49307
860000 212931 0.501505
880000 216149 0.509743
900000 219326 0.517945
920000 222461 0.526147
940000 225555 0.534271
960000 228611 0.542201
980000 231627 0.549878
